"id(idx)","章节(num,zj)","章节名称(str,n)","章节描述(str,d)","章节背景(str,p)","章节路线(str,l)","Boss头像(str,bossHead)","文字描述1","文字描述2",
40100040,40,第40章 行业巨头,有了官场的庇护，你公司发展得更加如遇得水。,10011144,xgq6,boss_01,140100040,240100040,
40100041,41,第41章 收集资料,公司日渐强大起来，越来越多的人想跟你合作。,10011141,xgq2,boss_06,140100041,240100041,
40100042,42,第42章 登门拜访,这些天，提里昂连续拜访了你好久次，你都没有接见。,10011142,xgq4,boss_04,140100042,240100042,
40100043,43,第43章 合作洽谈,提里昂吃了好几天闭门羹，早有些不耐烦了。你估摸着时机已到，便开始约他正式会谈了。,10011143,xgq5,boss_07,140100043,240100043,
40100044,44,第44章 喝酒庆祝,你拿下提里昂这个大客户后，公司上下的人都很高兴。,10011144,xgq6,boss_05,140100044,240100044,
40100045,45,第45章 神秘合作人,这天，有个人想要和你合作，却又不愿现身和你详谈。,10011141,xgq1,boss_03,140100045,240100045,
40100046,46,第46章 电话谈论,等你手上的事忙的差不多了，你觉得应该和那个神秘的合作人聊一聊了。,10011142,xgq1,boss_09,140100046,240100046,
40100047,47,第47章 见面详谈,约定的时间到了，于是你带着林思琪一起到约定的地点和大金牙碰面。,10011143,xgq2,boss_08,140100047,240100047,
40100048,48,第48章 再开分公司,公司的业务与日俱增，你决定再拓展一下事业版图。,10011144,xgq5,boss_02,140100048,240100048,
40100049,49,第49章 慈善包装,获得良好的口碑对公司发展很重要，你所以打算最近搞点慈善来美化一下公司形象。,10011141,xgq6,boss_06,140100049,240100049,
40100050,50,第50章 爱心企业,一大早，你刚走进公司，就听到员工扎堆在讨论什么事情，还有说有笑的。,10011142,xgq2,boss_10,140100050,240100050,
40100051,51,第51章 继续扩张,最近公司的发展石头很好，你和兄弟们商量决定趁热打铁继续扩张。,10011143,xgq6,boss_09,140100051,240100051,
40100052,52,第52章 秘书的行踪,你心中又涌现出疑云，便悄悄打听林秘书的行踪。,10011144,xgq5,boss_10,140100052,240100052,
40100053,53,第53章 幕后是谁,在林思琪汇报工作的间隙，她的电话突然响了起来。,10011141,xgq3,boss_05,140100053,240100053,
40100054,54,第54章 是敌是友,由于林秘书身上的谜团再次浮现，你对她开始格外留心起来。,10011142,xgq2,boss_03,140100054,240100054,
40100055,55,第55章 神秘计划,你看着林思琪职业的甜美笑容，又想起那个被多次提到的神秘计划……,10011143,xgq6,boss_02,140100055,240100055,
40100056,56,第56章 不速之客,刚到公司，就看到几个兄弟神色匆匆。,10011144,xgq5,boss_09,140100056,240100056,
40100057,57,第57章 知己知彼,没过多久，你就查出了对方的公司。,10011141,xgq2,boss_02,140100057,240100057,
40100058,58,第58章 是我的秘书,你将文件打开一看，是齐特企业的全部详细资料。,10011142,xgq5,boss_10,140100058,240100058,
40100059,59,第59章 正面交锋,有了林秘书给的资料，你便紧急通知大家开会商量对策。,10011143,xgq5,boss_04,140100059,240100059,
40100060,60,第60章 胜利在望,齐特公司来势汹汹，公司险些承受不住，但是后面情况就开始逆转。,10011144,xgq4,boss_09,140100060,240100060,
40100061,61,第61章 乘胜追击,赢了齐特企业之后，你决定趁大家士气正足，再大干一场。,10011141,xgq2,boss_04,140100061,240100061,
40100062,62,第62章 如日中天,趁着齐特企业被你打败的势头，你迅速发展公司的规模，震惊商界。,10011142,xgq6,boss_10,140100062,240100062,
40100063,63,第63章 危险的气息,虽然林秘书嘴上说没事，但你觉得她肯定有什么心事。,10011143,xgq2,boss_07,140100063,240100063,
40100064,64,第64章 收购风波,接下来这几天都十分忙碌，收购其他公司发生了一些突发状况。,10011144,xgq6,boss_05,140100064,240100064,
40100065,65,第65章 临阵倒戈,到了约定的收购日期，没想到对方却迟迟没有出现。,10011141,xgq1,boss_07,140100065,240100065,
40100066,66,第66章 功亏一篑,近几日的心血几乎全部白费，你对这件事感到非常生气。,10011142,xgq5,boss_09,140100066,240100066,
40100067,67,第67章 秘书失踪,收购的事情还没有告一段落，这天一早，公司突然不见林秘书来。,10011143,xgq2,boss_02,140100067,240100067,
40100068,68,第68章 有惊无险,你追到街头，那个可疑人影却已经不知所踪了。,10011144,xgq3,boss_07,140100068,240100068,
40100069,69,第69章 人影再现,上次的事情虽然林秘书没事，但是毕竟看到了人影，这几天你都坚持送林秘书回家。,10011141,xgq4,boss_08,140100069,240100069,
40100070,70,第70章 重振旗鼓,后来一段时间你没再发现人影，但还是一边投心工作，一边留意林秘书的情况。,10011142,xgq3,boss_05,140100070,240100070,
40100071,71,第71章 跨国企业,考察了海外市场之后，你便决定将公司升级为跨国企业。,10011143,xgq4,boss_03,140100071,240100071,
40100072,72,第72章 顺风顺水,海外的分公司开始经营了，非常受欢迎。你们很快收获了第一笔钱。,10011144,xgq5,boss_08,140100072,240100072,
40100073,73,第73章 奇怪的人,你看到那个人影之后，立马追了出去。,10011141,xgq1,boss_09,140100073,240100073,
40100074,74,第74章 初现端倪,你总觉得最近林秘书怪怪的，难道，跟那个神秘人影有关？,10011142,xgq3,boss_04,140100074,240100074,
40100075,75,第75章 寻找真相,你知道追问林秘书肯定行不通，便决定自己悄悄追查。,10011143,xgq2,boss_03,140100075,240100075,
40100076,76,第76章 秘书的身份,那辆车停在了一家酒店门口，你便将车停在不远处，跟了上去。,10011144,xgq6,boss_04,140100076,240100076,
40100077,77,第77章 幕后是谁,谜团太多，你想了一个晚上，没睡好觉。,10011141,xgq4,boss_08,140100077,240100077,
40100078,78,第78章 境外竞争,可能是嗅到了你海外分公司赚钱的气息，海外不少同类型的企业纷纷开始跟你竞争起来。,10011142,xgq6,boss_03,140100078,240100078,
40100079,79,第79章 资金漏洞,竞争正如火如荼，这边的盈利报告显示，钱的金额出了问题。,10011143,xgq1,boss_01,140100079,240100079,
40100080,80,第80章 神秘来信,正在焦头烂额的时候，你收到了一封神秘的来信。,10011144,xgq1,boss_06,140100080,240100080,
40100081,81,第81章 信的主人,直觉告诉你，这不是谁的恶作剧，而是出自藏在暗处的人之手。,10011141,xgq1,boss_05,140100081,240100081,
40100082,82,第82章 浮出水面,林秘书一直有些魂不守舍，你知道她肯定知道些什么，但她不说你便不追问。,10011142,xgq1,boss_10,140100082,240100082,
40100083,83,第83章 这是阴谋,从林秘书那里你大概了解了下大型跨国企业壕格企业，是顶级的竞争对手。,10011143,xgq6,boss_01,140100083,240100083,
40100084,84,第84章 再陷困境,虽然猜出了对手，但是止不住亏损，公司再次陷入困境。,10011144,xgq3,boss_07,140100084,240100084,
40100085,85,第85章 秘书的抉择,为了能脱离困境，解开更多的谜团，你叫上林秘书出去散散步放松一下。,10011141,xgq4,boss_03,140100085,240100085,
40100086,86,第86章 背水一战,你听了林秘书的想法，觉得可以尝试，便回公司安排起来。,10011142,xgq3,boss_06,140100086,240100086,
40100087,87,第87章 稳住局面,很意外的是，林秘书的方法居然奏效了。,10011143,xgq6,boss_02,140100087,240100087,
40100088,88,第88章 冰山一角,看着海外分公司的账目渐渐变得正常盈利起来，你十分开心。,10011144,xgq2,boss_06,140100088,240100088,
40100089,89,第89章 原来是他,你对林秘书的话感到十分震惊，便一直追问下去。,10011141,xgq6,boss_10,140100089,240100089,
40100090,90,第90章 身份的谜团,你这时候才突然度很多疑团有了一些眉目，比如林秘书的身份……,10011142,xgq3,boss_08,140100090,240100090,
40100091,91,第91章 正式对抗,心中确定了秘书对你的忠诚，你便对接下来的挑战有了信心。,10011143,xgq4,boss_01,140100091,240100091,
40100092,92,第92章 秘书的帮助,原来是林秘书，抱着一堆资料走了过来。,10011144,xgq5,boss_05,140100092,240100092,
40100093,93,第93章 以退为进,十分钟后，兄弟们都来到了会议室。,10011141,xgq4,boss_08,140100093,240100093,
40100094,94,第94章 暗中吞并,兄弟们开始行动没两天，就连连传来好消息。,10011142,xgq6,boss_09,140100094,240100094,
40100095,95,第95章 对手的行动,隐秘的吞并还是走漏了风声，鹏林集团很快警惕起来。,10011143,xgq5,boss_10,140100095,240100095,
40100096,96,第96章 势均力敌,你整合了一下当下自己公司所有的资源和力量，觉得可以与之一战。,10011144,xgq1,boss_03,140100096,240100096,
40100097,97,第97章 让你小心,你抽空前去谈生意，没想到碰到几个人。,10011141,xgq2,boss_08,140100097,240100097,
40100098,98,第98章 竞争激烈,商业上的竞争已经展开，各自旗下公司的竞争非常激烈。,10011142,xgq5,boss_02,140100098,240100098,
40100099,99,第99章 全球大亨,眼看竞争到了关键时刻，这时候对方提出要见你。,10011143,xgq4,boss_07,140100099,240100099,
40100100,100,第100章 赢得胜利,竞争到了尾声，公司清算盈亏，居然赢了鹏林企业。,10011144,xgq3,boss_08,140100100,240100100,
40100101,101,第101章,第101章的描述,10011141,xgq3,boss_10,140100101,240100101,
40100102,102,第102章,第102章的描述,10011142,xgq3,boss_02,140100102,240100102,
40100103,103,第103章,第103章的描述,10011143,xgq5,boss_08,140100103,240100103,
40100104,104,第104章,第104章的描述,10011144,xgq1,boss_03,140100104,240100104,
40100105,105,第105章,第105章的描述,10011141,xgq5,boss_05,140100105,240100105,
40100106,106,第106章,第106章的描述,10011142,xgq5,boss_10,140100106,240100106,
40100107,107,第107章,第107章的描述,10011143,xgq4,boss_03,140100107,240100107,
40100108,108,第108章,第108章的描述,10011144,xgq4,boss_06,140100108,240100108,
40100109,109,第109章,第109章的描述,10011141,xgq6,boss_04,140100109,240100109,
40100110,110,第110章,第110章的描述,10011142,xgq4,boss_06,140100110,240100110,
40100111,111,第111章,第111章的描述,10011143,xgq5,boss_03,140100111,240100111,
40100112,112,第112章,第112章的描述,10011144,xgq5,boss_04,140100112,240100112,
40100113,113,第113章,第113章的描述,10011141,xgq5,boss_03,140100113,240100113,
40100114,114,第114章,第114章的描述,10011142,xgq4,boss_06,140100114,240100114,
40100115,115,第115章,第115章的描述,10011143,xgq3,boss_02,140100115,240100115,
40100116,116,第116章,第116章的描述,10011144,xgq3,boss_06,140100116,240100116,
40100117,117,第117章,第117章的描述,10011141,xgq5,boss_08,140100117,240100117,
40100118,118,第118章,第118章的描述,10011142,xgq3,boss_10,140100118,240100118,
40100119,119,第119章,第119章的描述,10011143,xgq2,boss_03,140100119,240100119,
40100120,120,第120章,第120章的描述,10011144,xgq3,boss_08,140100120,240100120,
40100121,121,第121章,第121章的描述,10011141,xgq1,boss_01,140100121,240100121,
40100122,122,第122章,第122章的描述,10011142,xgq5,boss_09,140100122,240100122,
40100123,123,第123章,第123章的描述,10011143,xgq4,boss_10,140100123,240100123,
40100124,124,第124章,第124章的描述,10011144,xgq3,boss_05,140100124,240100124,
40100125,125,第125章,第125章的描述,10011141,xgq5,boss_04,140100125,240100125,
40100126,126,第126章,第126章的描述,10011142,xgq3,boss_08,140100126,240100126,
40100127,127,第127章,第127章的描述,10011143,xgq3,boss_02,140100127,240100127,
40100128,128,第128章,第128章的描述,10011144,xgq1,boss_01,140100128,240100128,
40100129,129,第129章,第129章的描述,10011141,xgq5,boss_09,140100129,240100129,
40100130,130,第130章,第130章的描述,10011142,xgq4,boss_05,140100130,240100130,
40100131,131,第131章,第131章的描述,10011143,xgq3,boss_02,140100131,240100131,
40100132,132,第132章,第132章的描述,10011144,xgq2,boss_10,140100132,240100132,
40100133,133,第133章,第133章的描述,10011141,xgq6,boss_04,140100133,240100133,
40100134,134,第134章,第134章的描述,10011142,xgq4,boss_05,140100134,240100134,
40100135,135,第135章,第135章的描述,10011143,xgq4,boss_09,140100135,240100135,
40100136,136,第136章,第136章的描述,10011144,xgq1,boss_10,140100136,240100136,
40100137,137,第137章,第137章的描述,10011141,xgq5,boss_07,140100137,240100137,
40100138,138,第138章,第138章的描述,10011142,xgq2,boss_09,140100138,240100138,
40100139,139,第139章,第139章的描述,10011143,xgq6,boss_02,140100139,240100139,
40100140,140,第140章,第140章的描述,10011144,xgq3,boss_01,140100140,240100140,
40100141,141,第141章,第141章的描述,10011141,xgq6,boss_10,140100141,240100141,
40100142,142,第142章,第142章的描述,10011142,xgq5,boss_03,140100142,240100142,
40100143,143,第143章,第143章的描述,10011143,xgq2,boss_04,140100143,240100143,
40100144,144,第144章,第144章的描述,10011144,xgq5,boss_07,140100144,240100144,
40100145,145,第145章,第145章的描述,10011141,xgq2,boss_10,140100145,240100145,
40100146,146,第146章,第146章的描述,10011142,xgq4,boss_07,140100146,240100146,
40100147,147,第147章,第147章的描述,10011143,xgq2,boss_10,140100147,240100147,
40100148,148,第148章,第148章的描述,10011144,xgq3,boss_06,140100148,240100148,
40100149,149,第149章,第149章的描述,10011141,xgq6,boss_09,140100149,240100149,
40100150,150,第150章,第150章的描述,10011142,xgq5,boss_01,140100150,240100150,
40100151,151,第151章,第151章的描述,10011143,xgq4,boss_02,140100151,240100151,
40100152,152,第152章,第152章的描述,10011144,xgq3,boss_01,140100152,240100152,
40100153,153,第153章,第153章的描述,10011141,xgq5,boss_07,140100153,240100153,
40100154,154,第154章,第154章的描述,10011142,xgq6,boss_10,140100154,240100154,
40100155,155,第155章,第155章的描述,10011143,xgq1,boss_03,140100155,240100155,
40100156,156,第156章,第156章的描述,10011144,xgq6,boss_02,140100156,240100156,
40100157,157,第157章,第157章的描述,10011141,xgq2,boss_03,140100157,240100157,
40100158,158,第158章,第158章的描述,10011142,xgq5,boss_08,140100158,240100158,
40100159,159,第159章,第159章的描述,10011143,xgq1,boss_04,140100159,240100159,
40100160,160,第160章,第160章的描述,10011144,xgq6,boss_01,140100160,240100160,
40100161,161,第161章,第161章的描述,10011141,xgq1,boss_02,140100161,240100161,
40100162,162,第162章,第162章的描述,10011142,xgq6,boss_06,140100162,240100162,
40100163,163,第163章,第163章的描述,10011143,xgq1,boss_03,140100163,240100163,
40100164,164,第164章,第164章的描述,10011144,xgq1,boss_07,140100164,240100164,
40100165,165,第165章,第165章的描述,10011141,xgq3,boss_10,140100165,240100165,
40100166,166,第166章,第166章的描述,10011142,xgq2,boss_09,140100166,240100166,
40100167,167,第167章,第167章的描述,10011143,xgq2,boss_02,140100167,240100167,
40100168,168,第168章,第168章的描述,10011144,xgq6,boss_04,140100168,240100168,
40100169,169,第169章,第169章的描述,10011141,xgq2,boss_05,140100169,240100169,
40100170,170,第170章,第170章的描述,10011142,xgq6,boss_03,140100170,240100170,
40100171,171,第171章,第171章的描述,10011143,xgq4,boss_08,140100171,240100171,
40100172,172,第172章,第172章的描述,10011144,xgq2,boss_07,140100172,240100172,
40100173,173,第173章,第173章的描述,10011141,xgq6,boss_06,140100173,240100173,
40100174,174,第174章,第174章的描述,10011142,xgq6,boss_05,140100174,240100174,
40100175,175,第175章,第175章的描述,10011143,xgq3,boss_02,140100175,240100175,
40100176,176,第176章,第176章的描述,10011144,xgq2,boss_05,140100176,240100176,
40100177,177,第177章,第177章的描述,10011141,xgq2,boss_08,140100177,240100177,
40100178,178,第178章,第178章的描述,10011142,xgq3,boss_09,140100178,240100178,
40100179,179,第179章,第179章的描述,10011143,xgq4,boss_07,140100179,240100179,
40100180,180,第180章,第180章的描述,10011144,xgq5,boss_02,140100180,240100180,
40100181,181,第181章,第181章的描述,10011141,xgq1,boss_03,140100181,240100181,
40100182,182,第182章,第182章的描述,10011142,xgq2,boss_05,140100182,240100182,
40100183,183,第183章,第183章的描述,10011143,xgq3,boss_10,140100183,240100183,
40100184,184,第184章,第184章的描述,10011144,xgq2,boss_07,140100184,240100184,
40100185,185,第185章,第185章的描述,10011141,xgq6,boss_09,140100185,240100185,
40100186,186,第186章,第186章的描述,10011142,xgq5,boss_06,140100186,240100186,
40100187,187,第187章,第187章的描述,10011143,xgq1,boss_02,140100187,240100187,
40100188,188,第188章,第188章的描述,10011144,xgq4,boss_05,140100188,240100188,
40100189,189,第189章,第189章的描述,10011141,xgq1,boss_04,140100189,240100189,
40100190,190,第190章,第190章的描述,10011142,xgq1,boss_09,140100190,240100190,
40100191,191,第191章,第191章的描述,10011143,xgq6,boss_07,140100191,240100191,
40100192,192,第192章,第192章的描述,10011144,xgq3,boss_08,140100192,240100192,
40100193,193,第193章,第193章的描述,10011141,xgq6,boss_06,140100193,240100193,
40100194,194,第194章,第194章的描述,10011142,xgq4,boss_03,140100194,240100194,
40100195,195,第195章,第195章的描述,10011143,xgq4,boss_07,140100195,240100195,
40100196,196,第196章,第196章的描述,10011144,xgq3,boss_05,140100196,240100196,
40100197,197,第197章,第197章的描述,10011141,xgq4,boss_04,140100197,240100197,
40100198,198,第198章,第198章的描述,10011142,xgq2,boss_08,140100198,240100198,
40100199,199,第199章,第199章的描述,10011143,xgq2,boss_04,140100199,240100199,
40100200,200,第200章,第200章的描述,10011144,xgq2,boss_02,140100200,240100200,
